time,mean_precipitation_rate,sur_air_temp,H2O_vapor_mass_ratio_surf,cloud_temp,surf_temp
2020-03-13,3.18499994,13.4125004,5.6875,-12.2124996,12.4750004
2020-03-14,0.0,3.2874999,3.61328125,-42.4000015,7.7874999
2020-03-15,0.0,0.162499994,2.8203125,-23.5562496,5.5999999
2020-03-16,0.0,3.9124999,3.05859375,-46.6500015,7.2249999
2020-03-17,0.00499999989,3.9124999,3.05859375,-5.7750001,7.2249999
2020-03-18,0.0,3.6624999,4.73828125,-35.8062515,0.725000024
2020-03-19,6.75500011,3.6624999,4.73828125,-35.8062515,0.725000024
2020-03-20,13.2249985,15.7250004,9.328125,-39.2437515,0.725000024
2020-03-21,0.0,-1.33749998,2.18554688,-31.2124996,7.8499999
2020-03-22,0.0,1.35000002,2.45703125,-2.4625001,5.9124999
2020-03-23,7.57500029,1.35000002,2.45703125,-45.7125015,5.9124999
2020-03-24,0.0,4.6624999,3.54296875,-8.02499962,3.3499999
2020-03-25,0.900000036,8.28750038,4.37109375,-19.0249996,5.5999999
2020-03-26,0.0,8.28750038,4.37109375,-19.0249996,5.5999999
2020-03-27,1.08500004,5.9749999,3.29296875,-2.6500001,12.1000004
2020-03-28,8.33500004,5.9749999,3.29296875,-25.9624996,1.66250002
2020-03-29,22.5749989,5.9749999,3.29296875,-14.5249996,8.47500038
2020-03-30,2.04499984,5.9749999,3.29296875,-16.2124996,8.47500038
2020-03-31,1.13999999,5.9749999,3.29296875,-5.5250001,1.53750002
2020-04-01,0.0,5.6624999,3.984375,-5.5875001,8.41250038
2020-04-02,0.0,5.6624999,3.984375,-5.5875001,8.41250038
2020-04-03,4.375,10.4750004,7.44921875,-11.2749996,1.85000002
2020-04-04,0.0,10.4750004,7.44921875,-11.2749996,1.85000002
2020-04-05,0.0,10.4750004,7.44921875,-4.1500001,12.7875004
2020-04-06,0.0,9.60000038,2.9375,-4.4625001,12.7250004
2020-04-07,0.419999957,11.7250004,4.05078125,-38.7750015,14.2875004
2020-04-08,5.38000011,11.7250004,4.05078125,-5.7125001,14.2875004
2020-04-09,3.44999981,3.0374999,3.90234375,-13.4624996,4.4749999
2020-04-10,0.0949999988,1.10000002,2.65625,-21.3687496,1.97500002
2020-04-11,0.0,2.8499999,2.8046875,-19.9312496,9.22500038
2020-04-12,0.0,2.8499999,2.8046875,-14.8999996,9.22500038
2020-04-13,22.0499992,2.8499999,2.8046875,-45.6812515,9.22500038
2020-04-14,1.81499982,2.8499999,2.8046875,-29.1187496,8.97500038
2020-04-15,0.514999986,0.725000024,2.4609375,-20.8374996,5.1624999
2020-04-16,0.329999983,2.2249999,2.30664062,-21.5249996,7.2874999
2020-04-17,0.194999993,2.2249999,2.30664062,-38.6812515,3.5999999
2020-04-18,0.144999996,5.4124999,3.69335938,-17.0249996,8.91250038
2020-04-19,6.56000042,5.4124999,3.69335938,-20.4937496,8.91250038
2020-04-20,0.0,5.4124999,3.69335938,-20.4937496,8.91250038
2020-04-21,2.67499995,4.2874999,3.1640625,-16.5874996,7.8499999
2020-04-22,0.0,1.22500002,2.06640625,-26.5249996,10.0375004
2020-04-23,1.01499999,7.5999999,3.94140625,-13.9624996,7.5999999
2020-04-24,4.33999968,7.5999999,3.94140625,-12.9624996,7.5999999
2020-04-25,0.349999994,8.03750038,4.328125,-39.1812515,17.2250004
2020-04-26,18.5299969,8.03750038,4.328125,-33.3687515,17.2250004
2020-04-27,4.32999992,8.03750038,4.328125,-30.5874996,17.2250004
2020-04-28,0.0,7.7249999,4.66796875,-14.4624996,19.5375004
2020-04-29,2.57999992,7.7249999,4.66796875,-37.3687515,19.5375004
2020-04-30,26.9149971,7.7249999,4.66796875,-40.3375015,19.5375004
2020-05-01,11.9249983,7.7249999,4.66796875,-8.08749962,17.2250004
2020-05-02,1.88,7.7249999,4.66796875,-22.9312496,18.1625004
2020-05-03,1.01999998,18.2875004,6.203125,1.85000002,22.4750004
2020-05-04,0.410000026,18.2875004,6.203125,-15.5249996,22.4750004
2020-05-05,0.0,8.72500038,2.609375,-25.6499996,12.9125004
2020-05-06,0.0,8.72500038,2.609375,-25.6499996,12.9125004
2020-05-07,2.15999985,8.72500038,2.609375,-18.5562496,8.28750038
2020-05-08,0.649999976,1.03750002,2.9140625,-31.5562496,8.28750038
2020-05-09,0.504999995,2.2249999,3.05078125,-33.8375015,8.28750038
2020-05-10,0.125,2.2249999,3.05078125,-20.8999996,8.28750038
2020-05-11,0.669999957,5.9749999,4.70703125,-22.9937496,-0.712499976
2020-05-12,0.0,5.9749999,4.70703125,-25.6187496,15.2875004
2020-05-13,0.0,5.9749999,4.70703125,-3.0875001,13.7250004
2020-05-14,2.40499997,5.9749999,4.70703125,-19.5249996,15.0375004
2020-05-15,19.0550003,5.9749999,4.70703125,-22.8999996,5.9749999
2020-05-16,0.340000004,5.9749999,4.70703125,1.35000002,26.7250004
2020-05-17,0.754999995,5.9749999,4.70703125,-25.2124996,25.6625004
2020-05-18,10.2900009,5.9749999,4.70703125,-11.5874996,25.6625004
2020-05-19,0.239999995,5.9749999,4.70703125,-38.0250015,16.5375004
2020-05-20,0.0,5.9749999,4.70703125,1.47500002,26.9750004
2020-05-21,0.0,20.5375004,3.88671875,-16.8374996,22.3500004
2020-05-22,0.0,20.5375004,3.88671875,-16.8374996,22.3500004
2020-05-23,11.4899988,15.4125004,8.890625,-5.9000001,25.0375004
2020-05-24,0.0,15.4125004,8.890625,-8.46249962,21.6625004
2020-05-25,13.3199987,15.4125004,8.890625,-6.4000001,23.2875004
2020-05-26,0.0,15.4125004,8.890625,18.3500004,37.3499985
2020-05-27,0.0,15.4125004,8.890625,-40.5250015,26.7875004
2020-05-28,0.810000062,15.4125004,8.890625,-21.1187496,14.3500004
2020-05-29,13.710001,15.4125004,8.890625,-28.8062496,24.9750004
2020-05-30,1.38999999,15.4125004,8.890625,-11.6499996,24.2250004
2020-05-31,0.0,15.4125004,8.890625,-20.4937496,9.16250038
2020-06-01,0.0,15.4125004,8.890625,-13.5249996,15.6625004
2020-06-02,1.75,15.4125004,8.890625,3.0999999,15.6625004
2020-06-03,1.48999989,15.4125004,8.890625,-14.8999996,26.1000004
2020-06-04,0.0,24.2250004,9.40625,-11.0249996,26.5375004
2020-06-05,2.80500007,24.2250004,9.40625,-9.89999962,28.6625004
2020-06-06,0.0,24.2250004,9.40625,-3.9000001,23.6625004
2020-06-07,0.0,24.2250004,9.40625,-3.9000001,23.6625004
2020-06-08,0.430000007,15.4125004,8.1328125,-40.5562515,18.6000004
2020-06-09,0.0,22.9125004,13.03125,5.2874999,28.3500004
2020-06-10,1.68499994,26.7875004,15.4296875,7.2249999,26.9750004
2020-06-11,0.644999981,26.7875004,15.4296875,-8.58749962,24.7250004
2020-06-12,0.0,26.7875004,15.4296875,-12.5249996,16.6625004
2020-06-13,0.0,26.7875004,15.4296875,-6.2125001,19.4750004
2020-06-14,0.0,26.7875004,15.4296875,-5.6500001,14.9750004
2020-06-15,0.0,20.9750004,6.796875,-2.0875001,25.0375004
2020-06-16,0.0,20.9750004,6.796875,17.6000004,24.4125004
2020-06-17,0.0,20.9750004,6.796875,8.10000038,23.9125004
2020-06-18,0.920000017,26.4125004,9.8359375,7.2249999,29.6625004
2020-06-19,0.0,23.6625004,11.484375,14.4750004,26.2250004
2020-06-20,0.479999989,26.4750004,12.828125,19.1000004,31.4750004
2020-06-21,0.0,26.4750004,12.828125,21.4750004,28.2875004
2020-06-22,2.45500016,27.6625004,12.390625,-19.0562496,36.9749985
2020-06-23,0.504999995,27.6625004,12.390625,-19.0562496,36.9749985
2020-06-24,9.47000027,16.2250004,9.4765625,-1.02499998,25.7875004
2020-06-25,2.75500011,16.2250004,9.4765625,4.4749999,24.7250004
2020-06-26,0.275000006,22.8500004,8.46875,7.7874999,26.1000004
2020-06-27,20.0299969,20.1000004,13.4921875,10.8500004,24.2875004
2020-06-28,8.60499954,21.7250004,13.0546875,1.72500002,23.6625004
2020-06-29,0.0,21.7250004,13.0546875,-12.5874996,27.7875004
2020-06-30,0.61500001,21.7250004,13.0546875,-7.7125001,14.6000004
2020-07-01,0.0,21.7250004,13.0546875,-7.7125001,14.6000004
2020-07-02,0.0,21.7250004,13.0546875,0.787500024,26.7250004
2020-07-03,0.0899999961,21.7250004,13.0546875,-0.524999976,27.9125004
2020-07-04,0.0,24.2875004,8.0625,22.4750004,29.2250004
2020-07-05,0.0,26.2875004,12.96875,-19.4624996,29.7250004
2020-07-06,0.129999995,25.9750004,13.484375,13.7875004,30.9125004
2020-07-07,0.0,26.6625004,15.96875,9.10000038,28.6625004
2020-07-08,0.349999994,27.4750004,15.390625,1.91250002,30.7250004
2020-07-09,0.0,27.4750004,15.390625,1.91250002,30.7250004
2020-07-10,0.63499999,27.9750004,16.03125,-41.1500015,27.2250004
2020-07-11,23.6899967,24.2250004,15.5859375,-23.9624996,26.2875004
2020-07-12,32.4649925,21.7875004,11.875,-19.8687496,25.6625004
