time,mean_precipitation_rate,sur_air_temp,relative_humidity,albedo_500,H2O_vapor_mass_ratio,H2O_vapor_mass_ratio_surf,cloud_temp,surf_temp
2020-02-24,0.354999989,4.9124999,93.0,-1.267651e+30,4.74609375,4.31640625,-23.7749996,3.0374999
2020-02-25,1.41499996,3.0374999,-9999.0,-1.267651e+30,-9999.0,4.48046875,-11.3999996,-5.3375001
2020-02-26,1.92999995,8.91250038,69.5,-1.267651e+30,3.37109375,4.734375,-32.2437515,-1.71249998
2020-02-27,12.2150002,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-23.6499996,-9999.0
2020-02-28,0.334999979,-4.9000001,-9999.0,-1.267651e+30,-9999.0,1.91894531,-22.5249996,-5.4625001
2020-02-29,0.109999999,-7.5250001,80.5,-1.267651e+30,1.30664062,1.46191406,-18.8687496,-7.7125001
2020-03-01,0.0,0.224999994,-9999.0,-1.267651e+30,-9999.0,2.98242188,-13.5249996,0.912500024
2020-03-02,6.52499962,5.7249999,-9999.0,-1.267651e+30,-9999.0,4.23828125,-35.6812515,-1.08749998
2020-03-03,4.42999983,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-9999.0,-9999.0
2020-03-04,2.04500008,2.9749999,-9999.0,-1.267651e+30,-9999.0,2.75585938,-16.2124996,4.9124999
2020-03-05,0.0,4.4749999,75.5,-1.267651e+30,3.734375,3.71289062,-7.9000001,5.7874999
2020-03-06,0.210000008,5.0374999,-9999.0,-1.267651e+30,-9999.0,4.484375,-34.9625015,-4.5875001
2020-03-07,0.0,1.60000002,63.5,-1.267651e+30,2.54882812,2.65429688,-19.5249996,3.0374999
2020-03-08,0.0,8.72500038,57.0,0.921299994,3.76953125,4.29296875,-20.3374996,8.10000038
2020-03-09,0.0,13.4125004,62.0,-1.267651e+30,5.81640625,5.6875,-14.1499996,13.2250004
2020-03-10,12.6900005,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-33.4000015,8.22500038
