time, OMAERUVd_003_FinalAerosolSingleScattAlb500
2020-06-30,-1.267651e+30
2020-07-01,-1.267651e+30
2020-07-02,-1.267651e+30
2020-07-03,0.959999979
2020-07-04,0.913699985
2020-07-05,0.956700027
2020-07-06,-1.267651e+30
2020-07-07,-1.267651e+30
2020-07-08,-1.267651e+30
2020-07-09,0.983299971
2020-07-10,0.948899984
2020-07-11,-1.267651e+30
2020-07-12,0.948899984
2020-07-13,-1.267651e+30
2020-07-14,0.975700021
2020-07-15,-1.267651e+30
2020-07-16,-1.267651e+30
2020-07-17,-1.267651e+30
2020-07-18,0.96509999
2020-07-19,-1.267651e+30
2020-07-20,0.920400023
2020-07-21,-1.267651e+30
2020-07-22,-1.267651e+30
2020-07-23,0.982800007
2020-07-24,-1.267651e+30
2020-07-25,0.929199994
2020-07-26,0.934599996
2020-07-27,-1.267651e+30
2020-07-28,0.902800024
2020-07-29,-1.267651e+30
2020-07-30,0.929400027
2020-07-31,-1.267651e+30
2020-08-01,0.956700027
2020-08-02,-1.267651e+30
2020-08-03,-1.267651e+30
2020-08-04,-1.267651e+30
2020-08-05,-1.267651e+30
2020-08-06,0.910600007
2020-08-07,-1.267651e+30
2020-08-08,-1.267651e+30
2020-08-09,-1.267651e+30
2020-08-10,-1.267651e+30
2020-08-11,-1.267651e+30
2020-08-12,0.944400012
2020-08-13,0.950999975
2020-08-14,0.935100019
2020-08-15,-1.267651e+30
2020-08-16,-1.267651e+30
2020-08-17,0.963199973
2020-08-18,-1.267651e+30
2020-08-19,0.908699989
2020-08-20,0.907800019
2020-08-21,-1.267651e+30
2020-08-22,0.91900003
2020-08-23,-1.267651e+30
2020-08-24,-1.267651e+30
2020-08-25,-1.267651e+30
2020-08-26,0.925499976
2020-08-27,-1.267651e+30
2020-08-28,-1.267651e+30
2020-08-29,-1.267651e+30
2020-08-30,-1.267651e+30
2020-08-31,0.925599992
2020-09-01,-1.267651e+30
2020-09-02,-1.267651e+30
2020-09-03,-1.267651e+30
2020-09-04,0.927600026
2020-09-05,0.930199981
2020-09-06,-1.267651e+30
2020-09-07,-1.267651e+30
2020-09-08,-1.267651e+30
2020-09-09,-1.267651e+30
2020-09-10,-1.267651e+30
2020-09-11,0.969500005
2020-09-12,-1.267651e+30
2020-09-13,-1.267651e+30
2020-09-14,0.866400003
2020-09-15,-1.267651e+30
2020-09-16,0.901000023
2020-09-17,-1.267651e+30
2020-09-18,0.929799974
2020-09-19,-1.267651e+30
2020-09-20,0.958599985
2020-09-21,0.871399999
2020-09-22,-1.267651e+30
2020-09-23,0.927900016
2020-09-24,-1.267651e+30
2020-09-25,-1.267651e+30
2020-09-26,-1.267651e+30
2020-09-27,0.917999983
2020-09-28,0.937300026
2020-09-29,-1.267651e+30
2020-09-30,-1.267651e+30
2020-10-01,-1.267651e+30
2020-10-02,-1.267651e+30
2020-10-03,-1.267651e+30
2020-10-04,-1.267651e+30
2020-10-05,-1.267651e+30
2020-10-06,-1.267651e+30
2020-10-07,0.93720001
2020-10-08,-1.267651e+30
2020-10-09,-1.267651e+30
2020-10-10,-1.267651e+30
2020-10-11,0.95389998
2020-10-12,-1.267651e+30
2020-10-13,0.875699997
2020-10-14,0.883400023
2020-10-15,-1.267651e+30
2020-10-16,-1.267651e+30
2020-10-17,-1.267651e+30
2020-10-18,-1.267651e+30
2020-10-19,-1.267651e+30
2020-10-20,-1.267651e+30
2020-10-21,-1.267651e+30
2020-10-22,-1.267651e+30
2020-10-23,0.931800008
2020-10-24,-1.267651e+30
2020-10-25,-1.267651e+30
2020-10-26,-1.267651e+30
2020-10-27,-1.267651e+30
2020-10-28,-1.267651e+30
2020-10-29,-1.267651e+30
2020-10-30,0.939400017
2020-10-31,0.929099977
2020-11-01,-1.267651e+30
2020-11-02,-1.267651e+30
2020-11-03,-1.267651e+30
2020-11-04,-1.267651e+30
2020-11-05,-1.267651e+30
2020-11-06,-1.267651e+30
2020-11-07,0.888599992
2020-11-08,0.919799984
2020-11-09,-1.267651e+30
2020-11-10,0.943199992
2020-11-11,-1.267651e+30
2020-11-12,-1.267651e+30
2020-11-13,-1.267651e+30
2020-11-14,0.911499977
2020-11-15,-1.267651e+30
2020-11-16,-1.267651e+30
2020-11-17,-1.267651e+30
2020-11-18,-1.267651e+30
2020-11-19,-1.267651e+30
2020-11-20,-1.267651e+30
2020-11-21,-1.267651e+30
2020-11-22,-1.267651e+30
2020-11-23,-1.267651e+30
2020-11-24,0.983500004
2020-11-25,-1.267651e+30
2020-11-26,-1.267651e+30
2020-11-27,-1.267651e+30
2020-11-28,-1.267651e+30
2020-11-29,-1.267651e+30
2020-11-30,-1.267651e+30
2020-12-01,-1.267651e+30
2020-12-02,-1.267651e+30
2020-12-03,0.9551
2020-12-04,-1.267651e+30
2020-12-05,-1.267651e+30
2020-12-06,-1.267651e+30
2020-12-07,-1.267651e+30
2020-12-08,-1.267651e+30
2020-12-09,-1.267651e+30
2020-12-10,-1.267651e+30
2020-12-11,-1.267651e+30
2020-12-12,-1.267651e+30
2020-12-13,-1.267651e+30
2020-12-14,-1.267651e+30
2020-12-15,-1.267651e+30
2020-12-16,-1.267651e+30
2020-12-17,-1.267651e+30
2020-12-18,-1.267651e+30
2020-12-19,-1.267651e+30
2020-12-20,-1.267651e+30
2020-12-21,-1.267651e+30
2020-12-22,-1.267651e+30
2020-12-23,-1.267651e+30
2020-12-24,-1.267651e+30
2020-12-25,-1.267651e+30
2020-12-26,-1.267651e+30
2020-12-27,-1.267651e+30
2020-12-28,-1.267651e+30
2020-12-29,-1.267651e+30
2020-12-30,-1.267651e+30
2020-12-31,-1.267651e+30
2021-01-01,-1.267651e+30
2021-01-02,-1.267651e+30
2021-01-03,-1.267651e+30
2021-01-04,-1.267651e+30
2021-01-05,-1.267651e+30
2021-01-06,-1.267651e+30
2021-01-07,-1.267651e+30
2021-01-08,-1.267651e+30
2021-01-09,-1.267651e+30
2021-01-10,-1.267651e+30
2021-01-11,-1.267651e+30
2021-01-12,-1.267651e+30
2021-01-13,-1.267651e+30
2021-01-14,-1.267651e+30
2021-01-15,-1.267651e+30
2021-01-16,-1.267651e+30
2021-01-17,-1.267651e+30
2021-01-18,-1.267651e+30
2021-01-19,-1.267651e+30
2021-01-20,-1.267651e+30
2021-01-21,-1.267651e+30
2021-01-22,-1.267651e+30
2021-01-23,-1.267651e+30
2021-01-24,-1.267651e+30
2021-01-25,-1.267651e+30
2021-01-26,-1.267651e+30
2021-01-27,-1.267651e+30
2021-01-28,-1.267651e+30
2021-01-29,-1.267651e+30
2021-01-30,-1.267651e+30
2021-01-31,-1.267651e+30
2021-02-01,-1.267651e+30
2021-02-02,-1.267651e+30
2021-02-03,-1.267651e+30
2021-02-04,-1.267651e+30
2021-02-05,-1.267651e+30
2021-02-06,-1.267651e+30
2021-02-07,-1.267651e+30
2021-02-08,-1.267651e+30
