sur_air_temp,H2O_vapor_mass_ratio_surf,mean_precipitation_rate,albedo_500,cloud_temp,surf_temp
15.7250004,9.328125,13.2249985,-1.267651e+30,-39.2437515,0.725000024
-1.33749998,2.18554688,0.0,0.896700025,-31.2124996,7.8499999
1.35000002,2.45703125,0.0,0.949000001,-2.4625001,5.9124999
1.35000002,2.45703125,7.57500029,-1.267651e+30,-45.7125015,5.9124999
4.6624999,3.54296875,0.0,-1.267651e+30,-8.02499962,3.3499999
8.28750038,4.37109375,0.900000036,-1.267651e+30,-19.0249996,5.5999999
8.28750038,4.37109375,0.0,-1.267651e+30,-19.0249996,5.5999999
5.9749999,3.29296875,1.08500004,-1.267651e+30,-2.6500001,12.1000004
5.9749999,3.29296875,8.33500004,-1.267651e+30,-25.9624996,1.66250002
5.9749999,3.29296875,22.5749989,-1.267651e+30,-14.5249996,8.47500038
5.9749999,3.29296875,2.04499984,-1.267651e+30,-16.2124996,8.47500038
5.9749999,3.29296875,1.13999999,-1.267651e+30,-5.5250001,1.53750002
5.6624999,3.984375,0.0,-1.267651e+30,-5.5875001,8.41250038
5.6624999,3.984375,0.0,0.935400009,-5.5875001,8.41250038
10.4750004,7.44921875,4.375,-1.267651e+30,-11.2749996,1.85000002
10.4750004,7.44921875,0.0,-1.267651e+30,-11.2749996,1.85000002
10.4750004,7.44921875,0.0,-1.267651e+30,-4.1500001,12.7875004
9.60000038,2.9375,0.0,0.905300021,-4.4625001,12.7250004
11.7250004,4.05078125,0.419999957,0.937399983,-38.7750015,14.2875004
11.7250004,4.05078125,5.38000011,-1.267651e+30,-5.7125001,14.2875004
3.0374999,3.90234375,3.44999981,-1.267651e+30,-13.4624996,4.4749999
1.10000002,2.65625,0.0949999988,-1.267651e+30,-21.3687496,1.97500002
2.8499999,2.8046875,0.0,0.933399975,-19.9312496,9.22500038
2.8499999,2.8046875,0.0,-1.267651e+30,-14.8999996,9.22500038
2.8499999,2.8046875,22.0499992,-1.267651e+30,-45.6812515,9.22500038
2.8499999,2.8046875,1.81499982,-1.267651e+30,-29.1187496,8.97500038
0.725000024,2.4609375,0.514999986,-1.267651e+30,-20.8374996,5.1624999
2.2249999,2.30664062,0.329999983,0.940199971,-21.5249996,7.2874999
2.2249999,2.30664062,0.194999993,-1.267651e+30,-38.6812515,3.5999999
5.4124999,3.69335938,0.144999996,0.966099977,-17.0249996,8.91250038
5.4124999,3.69335938,6.56000042,-1.267651e+30,-20.4937496,8.91250038
5.4124999,3.69335938,0.0,0.912199974,-20.4937496,8.91250038
4.2874999,3.1640625,2.67499995,0.92900002,-16.5874996,7.8499999
1.22500002,2.06640625,0.0,0.975899994,-26.5249996,10.0375004
7.5999999,3.94140625,1.01499999,0.887399971,-13.9624996,7.5999999
7.5999999,3.94140625,4.33999968,-1.267651e+30,-12.9624996,7.5999999
8.03750038,4.328125,0.349999994,0.914099991,-39.1812515,17.2250004
8.03750038,4.328125,18.5299969,-1.267651e+30,-33.3687515,17.2250004
8.03750038,4.328125,4.32999992,-1.267651e+30,-30.5874996,17.2250004
7.7249999,4.66796875,0.0,-1.267651e+30,-14.4624996,19.5375004
7.7249999,4.66796875,2.57999992,-1.267651e+30,-37.3687515,19.5375004
7.7249999,4.66796875,26.9149971,-1.267651e+30,-40.3375015,19.5375004
7.7249999,4.66796875,11.9249983,-1.267651e+30,-8.08749962,17.2250004
7.7249999,4.66796875,1.88,-1.267651e+30,-22.9312496,18.1625004
18.2875004,6.203125,1.01999998,-1.267651e+30,1.85000002,22.4750004
18.2875004,6.203125,0.410000026,-1.267651e+30,-15.5249996,22.4750004
8.72500038,2.609375,0.0,-1.267651e+30,-25.6499996,12.9125004
8.72500038,2.609375,0.0,-1.267651e+30,-25.6499996,12.9125004
8.72500038,2.609375,2.15999985,-1.267651e+30,-18.5562496,8.28750038
1.03750002,2.9140625,0.649999976,-1.267651e+30,-31.5562496,8.28750038
2.2249999,3.05078125,0.504999995,-1.267651e+30,-33.8375015,8.28750038
2.2249999,3.05078125,0.125,-1.267651e+30,-20.8999996,8.28750038
5.9749999,4.70703125,0.669999957,-1.267651e+30,-22.9937496,-0.712499976
5.9749999,4.70703125,0.0,-1.267651e+30,-25.6187496,15.2875004
5.9749999,4.70703125,0.0,0.885299981,-3.0875001,13.7250004
5.9749999,4.70703125,2.40499997,-1.267651e+30,-19.5249996,15.0375004
5.9749999,4.70703125,19.0550003,-1.267651e+30,-22.8999996,5.9749999
5.9749999,4.70703125,0.340000004,-1.267651e+30,1.35000002,26.7250004
5.9749999,4.70703125,0.754999995,-1.267651e+30,-25.2124996,25.6625004
5.9749999,4.70703125,10.2900009,-1.267651e+30,-11.5874996,25.6625004
5.9749999,4.70703125,0.239999995,-1.267651e+30,-38.0250015,16.5375004
5.9749999,4.70703125,0.0,0.886699975,1.47500002,26.9750004
20.5375004,3.88671875,0.0,-1.267651e+30,-16.8374996,22.3500004
20.5375004,3.88671875,0.0,0.891499996,-16.8374996,22.3500004
15.4125004,8.890625,11.4899988,0.920099974,-5.9000001,25.0375004
15.4125004,8.890625,0.0,0.936999977,-8.46249962,21.6625004
15.4125004,8.890625,13.3199987,0.939800024,-6.4000001,23.2875004
15.4125004,8.890625,0.0,-1.267651e+30,18.3500004,37.3499985
15.4125004,8.890625,0.0,-1.267651e+30,-40.5250015,26.7875004
15.4125004,8.890625,0.810000062,-1.267651e+30,-21.1187496,14.3500004
15.4125004,8.890625,13.710001,-1.267651e+30,-28.8062496,24.9750004
15.4125004,8.890625,1.38999999,-1.267651e+30,-11.6499996,24.2250004
15.4125004,8.890625,0.0,-1.267651e+30,-20.4937496,9.16250038
15.4125004,8.890625,0.0,-1.267651e+30,-13.5249996,15.6625004
15.4125004,8.890625,1.75,-1.267651e+30,3.0999999,15.6625004
15.4125004,8.890625,1.48999989,-1.267651e+30,-14.8999996,26.1000004
24.2250004,9.40625,0.0,-1.267651e+30,-11.0249996,26.5375004
24.2250004,9.40625,2.80500007,0.945599973,-9.89999962,28.6625004
24.2250004,9.40625,0.0,-1.267651e+30,-3.9000001,23.6625004
24.2250004,9.40625,0.0,0.904999971,-3.9000001,23.6625004
15.4125004,8.1328125,0.430000007,0.921199977,-40.5562515,18.6000004
22.9125004,13.03125,0.0,0.980000019,5.2874999,28.3500004
26.7875004,15.4296875,1.68499994,0.94690001,7.2249999,26.9750004
