time, mean_GPM_3IMERGDF_07_precipitation
2020-08-15,0.159999996
2020-08-16,0.329999983
2020-08-17,0.570000052
2020-08-18,1.88499975
2020-08-19,0.0
2020-08-20,0.0
2020-08-21,0.0
2020-08-22,0.0
2020-08-23,0.0
2020-08-24,0.0
2020-08-25,22.8500023
2020-08-26,0.0
2020-08-27,27.0349998
2020-08-28,0.0
2020-08-29,6.43000031
2020-08-30,0.0
2020-08-31,0.0
2020-09-01,0.0
2020-09-02,5.68999958
2020-09-03,0.199999988
2020-09-04,0.0
2020-09-05,0.61500001
2020-09-06,0.105000004
2020-09-07,1.99000001
2020-09-08,0.0
2020-09-09,0.0
2020-09-10,0.0
2020-09-11,2.86999989
2020-09-12,0.0
2020-09-13,8.17000008
2020-09-14,0.0
2020-09-15,0.0
2020-09-16,0.0
2020-09-17,0.0
2020-09-18,0.0
2020-09-19,0.0
2020-09-20,0.0
2020-09-21,0.0
2020-09-22,0.0
2020-09-23,0.0
2020-09-24,0.724999964
2020-09-25,0.0
2020-09-26,0.0
2020-09-27,0.0
2020-09-28,0.284999996
2020-09-29,11.9750004
2020-09-30,22.4049988
2020-10-01,1.13499999
2020-10-02,0.0
2020-10-03,0.0
2020-10-04,0.360000014
2020-10-05,0.0
2020-10-06,0.0
2020-10-07,13.8999977
2020-10-08,0.0
2020-10-09,0.170000002
2020-10-10,0.560000002
2020-10-11,0.0350000001
2020-10-12,0.0899999961
2020-10-13,2.56999969
2020-10-14,0.0749999955
2020-10-15,1.80999994
2020-10-16,12.9249992
2020-10-17,0.0
2020-10-18,0.339999974
2020-10-19,21.375
2020-10-20,9.51499939
2020-10-21,7.50499916
2020-10-22,3.26499987
2020-10-23,0.0
2020-10-24,0.0249999985
2020-10-25,0.0
2020-10-26,0.639999986
2020-10-27,2.28499985
2020-10-28,0.0
2020-10-29,15.7749996
2020-10-30,0.860000014
2020-10-31,0.0
2020-11-01,0.939999998
2020-11-02,0.0149999997
2020-11-03,2.75500011
2020-11-04,0.644999981
2020-11-05,0.0
2020-11-06,0.610000014
2020-11-07,0.0
2020-11-08,0.0
2020-11-09,0.0
2020-11-10,0.0
2020-11-11,11.9499989
2020-11-12,0.0
2020-11-13,0.0
2020-11-14,0.0
2020-11-15,7.84000015
2020-11-16,0.0
2020-11-17,0.00499999989
2020-11-18,0.0
2020-11-19,1.68499994
2020-11-20,4.37499952
2020-11-21,0.0
2020-11-22,3.36000013
2020-11-23,17.1599998
2020-11-24,0.0799999982
2020-11-25,9.99999905
2020-11-26,17.9699974
2020-11-27,0.0
2020-11-28,0.0
2020-11-29,0.0
2020-11-30,14.6149979
2020-12-01,0.0
2020-12-02,0.0599999949
2020-12-03,0.0
2020-12-04,4.44999981
2020-12-05,0.205000013
2020-12-06,0.689999998
2020-12-07,0.0
2020-12-08,0.0249999985
2020-12-09,0.729999959
2020-12-10,0.0
2020-12-11,0.0
2020-12-12,2.40999985
2020-12-13,0.0
2020-12-14,0.0
2020-12-15,0.0
2020-12-16,0.0350000001
2020-12-17,0.949999988
2020-12-18,0.0
2020-12-19,0.289999962
2020-12-20,2.81500006
2020-12-21,0.00999999978
2020-12-22,0.0
2020-12-23,0.319999993
2020-12-24,30.9399986
2020-12-25,62.5750008
2020-12-26,0.0
2020-12-27,0.0
2020-12-28,4.07499981
2020-12-29,0.0
2020-12-30,11.1850004
2020-12-31,3.05999947
2021-01-01,7.19999981
2021-01-02,14.0799999
2021-01-03,1.625
2021-01-04,0.0
2021-01-05,0.0
2021-01-06,0.109999999
2021-01-07,0.689999998
2021-01-08,0.0
2021-01-09,0.0599999987
2021-01-10,0.0
2021-01-11,0.164999992
2021-01-12,0.00499999989
2021-01-13,0.0
2021-01-14,0.920000017
2021-01-15,0.0749999955
2021-01-16,7.95500088
