time,H2O_vapor_mass_ratio_surf,mean_precipitation_rate,surf_air_temp,relative_humidity,cloud_temp,H2O_vapor_mass_ratio,surf_temp,albedo_500
2020-02-23,3.44921875,0.0,8.66250038,-9999.0,-36.9625015,-9999.0,3.7874999,-1.267651e+30
2020-02-24,4.31640625,0.784999967,4.9124999,93.0,-23.7749996,4.74609375,3.0374999,-1.267651e+30
2020-02-25,4.48046875,1.82999992,3.0374999,-9999.0,-11.3999996,-9999.0,-5.3375001,-1.267651e+30
2020-02-26,4.734375,0.734999955,8.91250038,69.5,-32.2437515,3.37109375,-1.71249998,-1.267651e+30
2020-02-27,-9999.0,11.0799999,-9999.0,-9999.0,-23.6499996,-9999.0,-9999.0,-1.267651e+30
2020-02-28,1.91894531,0.0899999961,-4.9000001,-9999.0,-22.5249996,-9999.0,-5.4625001,-1.267651e+30
2020-02-29,1.46191406,0.135000005,-7.5250001,80.5,-18.8687496,1.30664062,-7.7125001,-1.267651e+30
2020-03-01,2.98242188,0.0,0.224999994,-9999.0,-13.5249996,-9999.0,0.912500024,-1.267651e+30
2020-03-02,4.23828125,7.71500015,5.7249999,-9999.0,-35.6812515,-9999.0,-1.08749998,-1.267651e+30
2020-03-03,-9999.0,3.91499996,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-1.267651e+30
2020-03-04,2.75585938,1.73000002,2.9749999,-9999.0,-16.2124996,-9999.0,4.9124999,-1.267651e+30
2020-03-05,3.71289062,0.0,4.4749999,75.5,-7.9000001,3.734375,5.7874999,-1.267651e+30
2020-03-06,4.484375,0.00499999989,5.0374999,-9999.0,-34.9625015,-9999.0,-4.5875001,-1.267651e+30
2020-03-07,2.65429688,0.0,1.60000002,63.5,-19.5249996,2.54882812,3.0374999,-1.267651e+30
2020-03-08,4.29296875,0.0,8.72500038,57.0,-20.3374996,3.76953125,8.10000038,0.921299994
2020-03-09,5.6875,0.0,13.4125004,62.0,-14.1499996,5.81640625,13.2250004,-1.267651e+30
2020-03-10,-9999.0,11.0899992,-9999.0,-9999.0,-33.4000015,-9999.0,8.22500038,-1.267651e+30
2020-03-11,-9999.0,0.234999999,-9999.0,-9999.0,-40.7750015,-9999.0,-9999.0,-1.267651e+30
2020-03-12,-9999.0,0.0,-9999.0,-9999.0,-10.4624996,-9999.0,12.4750004,-1.267651e+30
2020-03-13,-9999.0,3.55500031,-9999.0,-9999.0,-12.2124996,-9999.0,-9999.0,-1.267651e+30
2020-03-14,3.61328125,0.0,3.2874999,-9999.0,-42.4000015,-9999.0,7.7874999,-1.267651e+30
2020-03-15,2.8203125,0.00999999978,0.162499994,75.5,-23.5562496,2.44140625,5.5999999,0.896300018
2020-03-16,3.05859375,0.0,3.9124999,61.0,-46.6500015,2.98828125,7.2249999,-1.267651e+30
2020-03-17,-9999.0,0.099999994,-9999.0,-9999.0,-5.7750001,-9999.0,-9999.0,-1.267651e+30
2020-03-18,4.73828125,0.0,3.6624999,95.5,-35.8062515,4.7109375,0.725000024,-1.267651e+30
2020-03-19,-9999.0,10.1699991,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-1.267651e+30
2020-03-20,9.328125,14.3099995,15.7250004,-9999.0,-39.2437515,-9999.0,-9999.0,-1.267651e+30
2020-03-21,2.18554688,0.344999969,-1.33749998,73.0,-31.2124996,2.04101562,7.8499999,0.896700025
2020-03-22,2.45703125,0.0,1.35000002,59.5,-2.4625001,2.19140625,5.9124999,0.949000001
2020-03-23,-9999.0,5.82000017,-9999.0,-9999.0,-45.7125015,-9999.0,-9999.0,-1.267651e+30
2020-03-24,3.54296875,0.0,4.6624999,69.5,-8.02499962,3.453125,3.3499999,-1.267651e+30
2020-03-25,4.37109375,0.99000001,8.28750038,62.5,-19.0249996,4.35546875,5.5999999,-1.267651e+30
2020-03-26,-9999.0,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-1.267651e+30
2020-03-27,3.29296875,1.39499998,5.9749999,83.0,-2.6500001,4.1796875,12.1000004,-1.267651e+30
2020-03-28,-9999.0,8.02999973,-9999.0,-9999.0,-25.9624996,-9999.0,1.66250002,-1.267651e+30
2020-03-29,-9999.0,22.4799995,-9999.0,-9999.0,-14.5249996,-9999.0,8.47500038,-1.267651e+30
2020-03-30,-9999.0,2.70499992,-9999.0,-9999.0,-16.2124996,-9999.0,-9999.0,-1.267651e+30
2020-03-31,-9999.0,1.07499993,-9999.0,-9999.0,-5.5250001,-9999.0,1.53750002,-1.267651e+30
2020-04-01,3.984375,0.0,5.6624999,69.0,-5.5875001,3.96679688,8.41250038,-1.267651e+30
2020-04-02,-9999.0,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.935400009
2020-04-03,7.44921875,2.3499999,10.4750004,93.0,-11.2749996,7.36328125,1.85000002,-1.267651e+30
2020-04-04,-9999.0,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-1.267651e+30
2020-04-05,-9999.0,0.0,-9999.0,-9999.0,-4.1500001,-9999.0,12.7875004,-1.267651e+30
2020-04-06,2.9375,0.0,9.60000038,-9999.0,-4.4625001,-9999.0,12.7250004,0.905300021
2020-04-07,4.05078125,0.50999999,11.7250004,-9999.0,-38.7750015,-9999.0,14.2875004,0.937399983
2020-04-08,-9999.0,5.2750001,-9999.0,-9999.0,-5.7125001,-9999.0,-9999.0,-1.267651e+30
2020-04-09,3.90234375,4.12999964,3.0374999,-9999.0,-13.4624996,-9999.0,4.4749999,-1.267651e+30
2020-04-10,2.65625,0.284999996,1.10000002,-9999.0,-21.3687496,-9999.0,1.97500002,-1.267651e+30
2020-04-11,2.8046875,0.0,2.8499999,78.0,-19.9312496,3.6015625,9.22500038,0.933399975
2020-04-12,-9999.0,0.0,-9999.0,-9999.0,-14.8999996,-9999.0,-9999.0,-1.267651e+30
2020-04-13,-9999.0,22.7600021,-9999.0,-9999.0,-45.6812515,-9999.0,-9999.0,-1.267651e+30
2020-04-14,-9999.0,0.574999928,-9999.0,-9999.0,-29.1187496,-9999.0,8.97500038,-1.267651e+30
2020-04-15,2.4609375,0.939999998,0.725000024,70.5,-20.8374996,3.171875,5.1624999,-1.267651e+30
2020-04-16,2.30664062,0.280000001,2.2249999,46.25,-21.5249996,2.125,7.2874999,0.940199971
2020-04-17,-9999.0,0.0,-9999.0,-9999.0,-38.6812515,-9999.0,3.5999999,-1.267651e+30
2020-04-18,3.69335938,0.0,5.4124999,-9999.0,-17.0249996,-9999.0,8.91250038,0.966099977
2020-04-19,-9999.0,8.03999996,-9999.0,-9999.0,-20.4937496,-9999.0,-9999.0,-1.267651e+30
2020-04-20,-9999.0,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.912199974
2020-04-21,3.1640625,2.78999996,4.2874999,-9999.0,-16.5874996,-9999.0,7.8499999,0.92900002
2020-04-22,2.06640625,0.0,1.22500002,-9999.0,-26.5249996,-9999.0,10.0375004,0.975899994
2020-04-23,3.94140625,1.02499998,7.5999999,63.5,-13.9624996,4.1640625,7.5999999,0.887399971
2020-04-24,-9999.0,3.56999969,-9999.0,-9999.0,-12.9624996,-9999.0,-9999.0,-1.267651e+30
2020-04-25,4.328125,0.0,8.03750038,84.0,-39.1812515,4.71875,17.2250004,0.914099991
2020-04-26,-9999.0,16.9449997,-9999.0,-9999.0,-33.3687515,-9999.0,-9999.0,-1.267651e+30
2020-04-27,-9999.0,6.61499977,-9999.0,-9999.0,-30.5874996,-9999.0,-9999.0,-1.267651e+30
2020-04-28,4.66796875,0.0,7.7249999,70.5,-14.4624996,4.46875,19.5375004,-1.267651e+30
2020-04-29,-9999.0,2.72999978,-9999.0,-9999.0,-37.3687515,-9999.0,-9999.0,-1.267651e+30
2020-04-30,-9999.0,28.6850014,-9999.0,-9999.0,-40.3375015,-9999.0,-9999.0,-1.267651e+30
2020-05-01,-9999.0,10.0750008,-9999.0,-9999.0,-8.08749962,-9999.0,17.2250004,-1.267651e+30
2020-05-02,-9999.0,2.98999977,-9999.0,-9999.0,-22.9312496,-9999.0,18.1625004,-1.267651e+30
2020-05-03,6.203125,0.805000067,18.2875004,-9999.0,1.85000002,-9999.0,22.4750004,-1.267651e+30
2020-05-04,-9999.0,0.194999993,-9999.0,-9999.0,-15.5249996,-9999.0,-9999.0,-1.267651e+30
2020-05-05,2.609375,0.0,8.72500038,-9999.0,-25.6499996,-9999.0,12.9125004,-1.267651e+30
2020-05-06,-9999.0,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-1.267651e+30
2020-05-07,-9999.0,2.01499987,-9999.0,-9999.0,-18.5562496,-9999.0,8.28750038,-1.267651e+30
2020-05-08,2.9140625,0.224999994,1.03750002,-9999.0,-31.5562496,-9999.0,-9999.0,-1.267651e+30
2020-05-09,3.05078125,0.699999988,2.2249999,-9999.0,-33.8375015,-9999.0,-9999.0,-1.267651e+30
2020-05-10,-9999.0,1.87,-9999.0,-9999.0,-20.8999996,-9999.0,-9999.0,-1.267651e+30
2020-05-11,4.70703125,0.109999999,5.9749999,-9999.0,-22.9937496,-9999.0,-0.712499976,-1.267651e+30
2020-05-12,-9999.0,0.0,-9999.0,-9999.0,-25.6187496,-9999.0,15.2875004,-1.267651e+30
2020-05-13,-9999.0,0.0,-9999.0,-9999.0,-3.0875001,-9999.0,13.7250004,0.885299981
2020-05-14,-9999.0,1.92999995,-9999.0,-9999.0,-19.5249996,-9999.0,15.0375004,-1.267651e+30
2020-05-15,-9999.0,27.3999977,-9999.0,-9999.0,-22.8999996,-9999.0,5.9749999,-1.267651e+30
2020-05-16,-9999.0,0.274999976,-9999.0,-9999.0,1.35000002,-9999.0,26.7250004,-1.267651e+30
2020-05-17,-9999.0,0.764999986,-9999.0,-9999.0,-25.2124996,-9999.0,25.6625004,-1.267651e+30
2020-05-18,-9999.0,10.04,-9999.0,-9999.0,-11.5874996,-9999.0,-9999.0,-1.267651e+30
2020-05-19,-9999.0,0.565000057,-9999.0,-9999.0,-38.0250015,-9999.0,16.5375004,-1.267651e+30
2020-05-20,-9999.0,0.0,-9999.0,-9999.0,1.47500002,-9999.0,26.9750004,0.886699975
2020-05-21,3.88671875,0.0,20.5375004,-9999.0,-16.8374996,-9999.0,22.3500004,-1.267651e+30
2020-05-22,-9999.0,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.891499996
2020-05-23,8.890625,10.7300005,15.4125004,76.0,-5.9000001,8.5390625,25.0375004,0.920099974
2020-05-24,-9999.0,0.0,-9999.0,-9999.0,-8.46249962,-9999.0,21.6625004,0.936999977
2020-05-25,-9999.0,15.1450005,-9999.0,-9999.0,-6.4000001,-9999.0,23.2875004,0.939800024
2020-05-26,-9999.0,0.0,-9999.0,-9999.0,18.3500004,-9999.0,37.3499985,-1.267651e+30
2020-05-27,-9999.0,0.0749999955,-9999.0,-9999.0,-40.5250015,-9999.0,26.7875004,-1.267651e+30
