time, AIRS3STD_7_0_SurfSkinTemp_A
2020-07-30,26.7250004
2020-07-31,28.2250004
2020-08-01,26.7875004
2020-08-02,27.3500004
2020-08-03,25.4750004
2020-08-04,-9999.0
2020-08-05,24.4125004
2020-08-06,25.1625004
2020-08-07,26.5375004
2020-08-08,26.8500004
2020-08-09,26.0375004
2020-08-10,-9999.0
2020-08-11,26.5375004
2020-08-12,28.1000004
2020-08-13,28.9750004
2020-08-14,28.4125004
2020-08-15,28.7875004
2020-08-16,-9999.0
2020-09-02,-9999.0
2020-09-03,23.9750004
2020-09-04,22.9125004
2020-09-05,22.2875004
2020-09-06,22.8500004
2020-09-07,24.6000004
2020-09-08,24.8500004
2020-09-09,27.4125004
2020-09-10,18.5375004
2020-09-11,-9999.0
2020-09-12,23.3500004
2020-09-13,19.8500004
2020-09-14,18.9125004
2020-09-15,19.8500004
2020-09-16,22.2250004
2020-09-17,20.6625004
2020-09-18,17.6000004
2020-09-19,17.7250004
2020-09-20,19.3500004
2020-09-21,20.7875004
2020-09-22,20.2250004
2020-09-23,21.9750004
2020-09-24,23.7875004
2020-09-25,23.2875004
2020-09-26,26.1000004
2020-09-27,-9999.0
2020-09-28,25.3500004
2020-09-29,-9999.0
2020-09-30,14.9750004
2020-10-01,17.7250004
2020-10-02,14.0375004
2020-10-03,16.7875004
2020-10-04,23.9125004
2020-10-05,15.1625004
2020-10-06,19.1000004
2020-10-07,16.6625004
2020-10-08,16.2875004
2020-10-09,17.9125004
2020-10-10,21.2250004
2020-10-11,15.9125004
2020-10-12,16.4125004
2020-10-13,-9999.0
2020-10-14,17.2875004
2020-10-15,22.8500004
2020-10-16,-9999.0
2020-10-17,15.9125004
2020-10-18,15.1000004
2020-10-19,-9999.0
2020-10-20,9.03750038
2020-10-21,7.9124999
2020-10-22,8.91250038
2020-10-23,22.4125004
2020-10-24,12.4125004
2020-10-25,11.9125004
2020-10-26,-9999.0
2020-10-27,-9999.0
2020-10-28,8.60000038
2020-10-29,-9999.0
2020-10-30,9.22500038
2020-10-31,11.8500004
2020-11-01,-9999.0
2020-11-02,0.224999994
2020-11-03,-5.5250001
2020-11-04,16.1000004
2020-11-05,18.2250004
2020-11-06,19.1625004
2020-11-07,19.9750004
2020-11-08,16.7875004
2020-11-09,21.9125004
2020-11-10,18.3500004
2020-11-11,6.9749999
2020-11-12,10.6625004
2020-11-13,11.2875004
2020-11-14,-9999.0
2020-11-15,-9999.0
2020-11-16,-9999.0
2020-11-17,-4.2750001
2020-11-18,6.8499999
2020-11-19,9.66250038
2020-11-20,12.5375004
2020-11-21,-9999.0
2020-11-22,-10.3374996
2020-11-23,-9999.0
2020-11-24,5.4749999
2020-11-25,1.72500002
2020-11-26,3.2249999
2020-11-27,-9999.0
2020-11-28,7.8499999
2020-11-29,9.91250038
2020-11-30,-9999.0
2020-12-01,-9999.0
2020-12-02,-10.2124996
2020-12-03,4.4124999
2020-12-04,-9999.0
2020-12-05,-9999.0
2020-12-06,-7.2125001
2020-12-07,-9999.0
2020-12-08,0.537500024
2020-12-09,-7.6500001
2020-12-10,0.349999994
2020-12-11,9.03750038
2020-12-12,-9999.0
2020-12-13,-9999.0
2020-12-14,-9999.0
2020-12-15,1.60000002
2020-12-16,-9999.0
2020-12-17,-0.275000006
2020-12-18,-1.33749998
2020-12-19,-5.7750001
2020-12-20,-10.5249996
2020-12-21,4.3499999
2020-12-22,2.5374999
2020-12-23,-9999.0
2020-12-24,-9999.0
2020-12-25,-9999.0
2020-12-26,-9999.0
2020-12-27,-6.1500001
2020-12-28,-9999.0
2020-12-29,-0.400000006
