time, AIRS3STD_7_0_CloudTopTemp_A
2020-07-20,-9.96249962
2020-07-21,-16.7124996
2020-07-22,-20.9624996
2020-07-23,12.8500004
2020-07-24,16.4125004
2020-07-25,-9999.0
2020-07-26,-18.2124996
2020-07-27,-9.02499962
2020-07-28,-16.0874996
2020-07-29,-9.89999962
2020-07-30,-19.2124996
2020-07-31,-8.39999962
2020-08-01,-37.9312515
2020-08-02,7.2874999
2020-08-03,-12.5249996
2020-08-04,-43.3687515
2020-08-05,-2.6500001
2020-08-06,-18.9312496
2020-08-07,0.912500024
2020-08-08,4.4749999
2020-08-09,5.2874999
2020-08-10,-9999.0
2020-08-11,-11.8374996
2020-08-12,-44.4312515
2020-08-13,-1.46249998
2020-08-14,11.3500004
2020-08-15,-6.2750001
2020-08-16,-9999.0
2020-09-02,-9999.0
2020-09-03,-39.8375015
2020-09-04,-32.9000015
2020-09-05,-14.9624996
2020-09-06,-28.1499996
2020-09-07,-51.6812515
2020-09-08,-34.5250015
2020-09-09,21.3500004
2020-09-10,-1.46249998
2020-09-11,-9999.0
2020-09-12,-25.2124996
2020-09-13,-35.9937515
2020-09-14,-15.9624996
2020-09-15,-33.7750015
2020-09-16,5.0999999
2020-09-17,5.2874999
2020-09-18,-55.7437515
2020-09-19,-22.4624996
2020-09-20,-54.9625015
2020-09-21,9.53750038
2020-09-22,15.5375004
2020-09-23,-8.02499962
2020-09-24,-32.4625015
2020-09-25,17.9125004
2020-09-26,-23.7124996
2020-09-27,-9999.0
2020-09-28,2.7249999
2020-09-29,-31.4937496
2020-09-30,-15.9624996
2020-10-01,-12.5249996
2020-10-02,-6.9625001
2020-10-03,-12.3374996
2020-10-04,-15.5874996
2020-10-05,-3.6500001
2020-10-06,-2.5875001
2020-10-07,-20.1812496
2020-10-08,-5.9000001
2020-10-09,4.5374999
2020-10-10,-5.9000001
2020-10-11,-44.0562515
2020-10-12,7.3499999
2020-10-13,-9999.0
2020-10-14,-23.2749996
2020-10-15,-7.0250001
2020-10-16,-39.2125015
2020-10-17,-17.7749996
2020-10-18,-43.8062515
2020-10-19,-52.1187515
2020-10-20,-26.6499996
2020-10-21,-40.9625015
2020-10-22,-4.2125001
2020-10-23,6.2249999
2020-10-24,-1.46249998
2020-10-25,-24.5249996
2020-10-26,-6.4000001
2020-10-27,-19.3687496
2020-10-28,-1.52499998
2020-10-29,-9999.0
2020-10-30,-7.9625001
2020-10-31,-2.7125001
2020-11-01,-20.3999996
2020-11-02,-24.8999996
2020-11-03,-30.8062496
2020-11-04,-3.9625001
2020-11-05,-33.7125015
