time,sur_air_temp,H2O_vapor_mass_ratio_surf,mean_precipitation_rate,surf_temp,cloud_temp
2020-04-10,1.10000002,2.65625,0.249999985,1.97500002,-21.3687496
2020-04-11,2.8499999,2.8046875,0.0,9.22500038,-19.9312496
2020-04-12,2.8499999,2.8046875,0.0,9.22500038,-14.8999996
2020-04-13,2.8499999,2.8046875,20.9499969,9.22500038,-45.6812515
2020-04-14,2.8499999,2.8046875,3.16499996,8.97500038,-29.1187496
2020-04-15,0.725000024,2.4609375,0.299999982,5.1624999,-20.8374996
2020-04-16,2.2249999,2.30664062,0.435000002,7.2874999,-21.5249996
2020-04-17,2.2249999,2.30664062,0.389999986,3.5999999,-38.6812515
2020-04-18,5.4124999,3.69335938,0.164999992,8.91250038,-17.0249996
2020-04-19,5.4124999,3.69335938,7.92500019,8.91250038,-20.4937496
2020-04-20,5.4124999,3.69335938,0.269999981,8.91250038,-20.4937496
2020-04-21,4.2874999,3.1640625,3.28999972,7.8499999,-16.5874996
2020-04-22,1.22500002,2.06640625,0.0,10.0375004,-26.5249996
2020-04-23,7.5999999,3.94140625,0.965000033,7.5999999,-13.9624996
2020-04-24,7.5999999,3.94140625,4.32999945,7.5999999,-12.9624996
2020-04-25,8.03750038,4.328125,0.0,17.2250004,-39.1812515
2020-04-26,8.03750038,4.328125,19.3150005,17.2250004,-33.3687515
2020-04-27,8.03750038,4.328125,4.4749999,17.2250004,-30.5874996
2020-04-28,7.7249999,4.66796875,0.0,19.5375004,-14.4624996
2020-04-29,7.7249999,4.66796875,2.65999961,19.5375004,-37.3687515
2020-04-30,7.7249999,4.66796875,24.7800007,19.5375004,-40.3375015
2020-05-01,7.7249999,4.66796875,12.6449986,17.2250004,-8.08749962
2020-05-02,7.7249999,4.66796875,1.90499997,18.1625004,-22.9312496
2020-05-03,18.2875004,6.203125,1.04999995,22.4750004,1.85000002
2020-05-04,18.2875004,6.203125,0.314999998,22.4750004,-15.5249996
2020-05-05,8.72500038,2.609375,0.0,12.9125004,-25.6499996
2020-05-06,8.72500038,2.609375,0.0,12.9125004,-25.6499996
2020-05-07,8.72500038,2.609375,1.6099999,8.28750038,-18.5562496
2020-05-08,1.03750002,2.9140625,0.50999999,8.28750038,-31.5562496
2020-05-09,2.2249999,3.05078125,0.685000002,8.28750038,-33.8375015
2020-05-10,2.2249999,3.05078125,0.284999996,8.28750038,-20.8999996
2020-05-11,5.9749999,4.70703125,0.0,-0.712499976,-22.9937496
2020-05-12,5.9749999,4.70703125,0.0,15.2875004,-25.6187496
2020-05-13,5.9749999,4.70703125,0.0,13.7250004,-3.0875001
2020-05-14,5.9749999,4.70703125,2.38499999,15.0375004,-19.5249996
2020-05-15,5.9749999,4.70703125,19.8199997,5.9749999,-22.8999996
2020-05-16,5.9749999,4.70703125,0.36500001,26.7250004,1.35000002
2020-05-17,5.9749999,4.70703125,0.290000021,25.6625004,-25.2124996
2020-05-18,5.9749999,4.70703125,10.3300009,25.6625004,-11.5874996
2020-05-19,5.9749999,4.70703125,0.00499999989,16.5375004,-38.0250015
2020-05-20,5.9749999,4.70703125,0.0,26.9750004,1.47500002
2020-05-21,20.5375004,3.88671875,0.0,22.3500004,-16.8374996
2020-05-22,20.5375004,3.88671875,0.0,22.3500004,-16.8374996
2020-05-23,15.4125004,8.890625,11.5299997,25.0375004,-5.9000001
2020-05-24,15.4125004,8.890625,0.0,21.6625004,-8.46249962
2020-05-25,15.4125004,8.890625,12.4549999,23.2875004,-6.4000001
2020-05-26,15.4125004,8.890625,0.0,37.3499985,18.3500004
2020-05-27,15.4125004,8.890625,0.0,26.7875004,-40.5250015
2020-05-28,15.4125004,8.890625,0.720000029,14.3500004,-21.1187496
